municipio,codigo,gentilico,prefeito,area_km2,populacao_censo_2022,densidade_hab_km2,populacao_estimada_2025,escolarizacao_pct,idhm,mortalidade_infantil,receitas_brutas,despesas_brutas,pib_per_capita
Acauã,2200053,acauãnense,REGINALDO RAIMUNDO RODRIGUES,1196.75,6420,5.01,6323,99.61,0.528,24.39,38794003.1,35941654.43,13228.09
Agricolândia,2200103,agricolandiense,MARCOS ANTONIO CARVALHO DE SOUSA,112.392,4940,43.95,5016,99.59,0.599,,42232174.25,39774199.27,11606.34
Água Branca,2200202,água-branquense,JOSE RIBEIRO DA CRUZ JUNIOR,96.843,17573,181.46,18095,99.17,0.639,8.3,128040406.73,107175427.35,17272.65
Alagoinha do Piauí,2200251,alagoinhense,PEDRO OTACILIO DE SOUSA MOURA,535.89,6819,12.72,6876,95.81,0.531,,33681791.03,31291090.71,11847.35
Alegrete do Piauí,2200277,alegretense,MARCIO WILLIAN MAIA ALENCAR,243.732,4634,19.01,4707,97.67,0.585,18.18,37896891.52,33969541.53,12162.15
Alto Longá,2200301,longaense,BELAUTO MOREIRA TORRES,1743.331,13479,7.73,13729,99.27,0.585,16.39,62800543.98,61022209.19,10899.42
Altos,2200400,altoense,MAXWELL PIRES FERREIRA,957.226,47453,49.57,50094,98.91,0.614,20.91,237822934.6,240687827.29,16119.4
Alvorada do Gurguéia,2200459,alvoradense,LECIO GUSTAVO SOUSA BEZERRA,2131.517,5322,2.5,5474,99.02,0.578,,40811020.47,36064302.95,20497.64
Amarante,2200509,amarantino,ADRIANO DA GUIA DA SILVA,1180.193,17234,14.96,17594,98.24,0.598,34.63,107624630.45,98479276.18,14155.37
Angical do Piauí,2200608,angicalense,BRUNO FERREIRA SOBRINHO NETO,222.023,6827,30.75,6991,99.34,0.63,32.26,45929670.16,41057399.07,12417.16
Anísio de Abreu,2200707,anisiense,RAMON RUBEN DE MACÊDO,337.876,9407,27.84,9649,98.95,0.594,54.05,61904330.32,60738251.89,13286.92
Antônio Almeida,2200806,antônio-almeidense,MARCELO TOLEDO LAURINI,644.801,3152,4.89,3234,97.78,0.62,,43082685.0,38679476.33,62696.38
Aroazes,2200905,aroazense,MANOEL PORTELA DE CARVALHO NETO,821.211,5369,6.54,5413,100.0,0.583,63.83,45786173.24,43019223.64,12942.71
Aroeiras do Itaim,2200954,aroeirense,FRANCISCO MARCIANO MACEDO,316.235,2690,8.51,2777,99.18,0.519,55.56,29477625.29,27326383.77,11724.87
Arraial,2201002,arraialense,ALDEMES BARROSO DA SILVA,619.21,4520,6.62,4517,100.0,0.56,17.54,44515225.72,40560184.23,13303.84
Assunção do Piauí,2201051,assunçãoense,JOVELINO SOARES DA SILVA,1690.698,7452,4.41,7596,99.7,0.499,11.24,57396725.95,58492648.03,10875.6
Avelino Lopes,2201101,avelino-lopense,FLÁVIO JOSÉ ALVES,1220.369,10866,8.9,11118,98.32,0.554,13.16,68038254.48,66810149.12,11700.46
Baixa Grande do Ribeiro,2201150,baixagrandense do ribeiro,JOSÉ LUIS SOUSA,7808.913,13272,1.7,13983,99.22,0.564,11.24,172465795.6,146995258.95,200215.82
Barra D'Alcântara,2201176,barra d’alcantarense,MARDONIO SOARES LOPES,263.943,3995,15.14,4099,100.0,0.577,37.04,33105961.36,31123237.47,11832.45
Barras,2201200,barrense,EDILSON SÉRVULO DE SOUSA,1722.506,47938,27.83,49703,99.53,0.595,13.89,250231568.64,233731649.93,14048.62
Barreiras do Piauí,2201309,barreirense,MANOEL AROLDO BARREIRA FILHO,2168.713,3264,1.51,3336,99.04,0.557,40.0,36917387.39,32760195.97,42138.94
Barro Duro,2201408,barro-durense,ELOI PEREIRA DE SOUSA,159.436,6640,41.65,6731,97.23,0.612,18.52,43685215.28,45319009.4,15795.87
Batalha,2201507,batalhense,JOSÉ LUIZ ALVES MACHADO,1584.255,26300,16.55,27129,98.77,0.545,6.56,121082852.8,111467384.79,11641.69
Bela Vista do Piauí,2201556,bela vistense,FRANCISCO DE SOUSA NETO,499.092,4091,8.2,4225,96.99,0.576,,31507440.85,26411611.22,15468.75
Belém do Piauí,2201572,belenense,JÔNATHAS DE CARVALHO NORONHA,243.234,3423,14.07,3515,99.54,0.551,31.25,42169935.72,39221026.61,13883.53
Beneditinos,2201606,beneditinense,TALLES GUSTAVO MARQUES RODRIGUES,937.443,9929,10.6,10093,97.93,0.557,10.31,71498506.99,67701879.55,11911.09
Bertolínia,2201705,bertolinense,RODRIGO DA ROCHA MARTINS,1216.116,5562,4.57,5715,99.11,0.612,,47530601.53,44060977.42,16332.93
Betânia do Piauí,2201739,betanhense,IJOSEVAN COELHO DAMASCENO,667.433,6220,10.73,6596,98.48,0.489,18.18,47065116.76,43658110.32,19313.04
Boa Hora,2201770,boa horense,DOMINGOS COELHO DE RESENDE,339.902,6902,20.48,7140,99.58,0.575,33.71,43718675.66,38898894.17,11296.52
Bocaina,2201804,bocainense,GUILHERME PORTELA DE DEUS MACÊDO,261.49,4078,15.59,4118,98.61,0.632,54.05,33261154.12,33706113.23,13152.78
Bom Jesus,2201903,bom-jesuense,NESTOR RENATO PINHEIRO ELVAS,5470.984,28796,5.26,30658,99.07,0.668,10.14,231497160.58,221979240.82,57705.04
Bom Princípio do Piauí,2201919,bomprincipiense,FRANCISCO APOLINARIO COSTA MORAES,523.143,5636,10.77,5805,99.24,0.532,29.85,35732436.58,34387669.23,14666.17
Bonfim do Piauí,2201929,bonfinense,PAULO HENRIQUE RIBEIRO,289.149,5913,20.45,6117,99.7,0.542,26.32,38205675.18,35988883.22,11517.94
Boqueirão do Piauí,2201945,boqueirãoense,GENIR FERREIRA DA SILVA,271.024,6545,24.26,6751,99.79,0.56,12.35,38780366.9,36702498.6,10301.58
Brasileira,2201960,brasileirense,RANIERI MAZZILLE RAMOS DE MENESES,880.836,8436,9.58,8684,98.85,0.577,,64061639.33,62699858.56,11986.39
Brejo do Piauí,2201988,brejense,FABIANO FEITOSA LIRA,2267.326,3904,1.72,3964,97.94,0.515,20.41,41228683.76,39327788.84,14845.3
Buriti dos Lopes,2202000,buritiense,LAURA ROSA COLLINS DE OLIVEIRA PORTELA,690.539,19654,28.46,20130,99.69,0.565,,150874502.44,150259478.71,14064.64
Buriti dos Montes,2202026,buritiense,JOSÉ OLAVO MARINHO DE LOIOLA JÚNIOR,2437.329,7434,3.05,7517,100.0,0.574,18.52,69534868.82,62151756.71,13272.71
Cabeceiras do Piauí,2202059,cabeceirense,JOSE DA SILVA FILHO,608.744,10212,16.78,10466,98.77,0.583,,67715445.82,58587546.03,10557.84
Cajazeiras do Piauí,2202075,cajazerense,CARLOS ALBERTO SILVESTRE DE SOUSA,515.427,3108,6.05,3135,100.0,0.562,20.0,35917628.36,38061631.88,14683.77
Cajueiro da Praia,2202083,pratense,FELIPE DE CARVALHO RIBEIRO,271.165,7957,29.34,8246,98.88,0.546,17.7,52895475.75,48491003.55,19161.91
Caldeirão Grande do Piauí,2202091,caldeirão grandense,DOUGLAS FILIPE SOUSA GONÇALVES,467.082,5503,11.78,5602,99.05,0.588,29.41,56168919.81,50074307.67,44297.15
Campinas do Piauí,2202109,campinense,JOMÁRIO FERREIRA DOS SANTOS,783.843,4938,6.3,4964,98.55,0.544,23.81,48306911.43,41573498.39,15233.16
Campo Alegre do Fidalgo,2202117,campo alegrense,JEAN CARLOS BRAGA RIBEIRO,657.797,4616,7.02,4698,98.31,0.537,19.23,37527852.11,36306056.48,13472.82
Campo Grande do Piauí,2202133,campo grandense,FRANCISCO JOSE BEZERRA,311.682,6020,19.31,6211,98.49,0.56,33.9,36156127.21,32054281.57,12831.1
Campo Largo do Piauí,2202174,campolargoense,JAIRO SOARES LEITAO,478.079,7419,15.52,7669,99.52,0.528,31.25,53736420.11,50149073.75,10901.91
Campo Maior,2202208,campo-maiorense,JOÃO FÉLIX DE ANDRADE FILHO,1680.863,45793,27.24,47119,99.12,0.656,17.31,299102038.74,289777004.67,20544.67
Canavieira,2202251,canavieirense,ERIKA DE ALBUQUERQUE FONSECA,2165.2,3414,1.58,3404,99.0,0.583,32.26,26858727.17,23572875.48,15240.82
Canto do Buriti,2202307,canto-buritiense,MARCUS FELLIPE NUNES ALVES,4325.643,19365,4.48,19639,98.87,0.576,15.81,104766836.57,95970421.03,17710.9
Capitão de Campos,2202406,capitão-de-campense,MARIA ERONEIDE DOS SANTOS GOMES,564.858,11100,19.42,11362,99.09,0.583,17.39,74274116.66,69202484.77,11984.82
Capitão Gervásio Oliveira,2202455,gervasense,RAIMUNDO COELHO,1132.996,3974,3.51,4071,97.29,0.553,,36496921.12,35491865.38,14772.1
Caracol,2202505,caracolense,RANILETTI CARVALHO DE MACÊDO,1610.959,10318,6.4,10546,97.15,0.552,13.25,76934851.29,76994279.08,12361.23
Caraúbas do Piauí,2202539,caraubense,ANDRESSA MARIA LEAL DE SOUSA,463.184,5630,11.95,5581,100.0,0.505,30.3,34483901.17,34566985.9,12073.98
Caridade do Piauí,2202554,caridadense,CLEIVANILSON JOSÉ DE CARVALHO,498.793,5033,10.09,5176,98.95,0.541,27.03,58401891.13,62273712.04,14417.59
Castelo do Piauí,2202604,castelense,JOSE SOARES DE ABREU JÚNIOR,2378.846,19288,8.11,19669,99.12,0.587,4.76,110505640.7,105669369.67,12158.93
Caxingó,2202653,caxingoense,MAGNUM FERNANDO CARDOSO DOS SANTOS,491.093,5496,11.19,5682,99.2,0.488,25.32,42841441.58,37275656.88,12484.71
Cocal,2202703,cocalense,CRISTIANO FELIPPE DE MELO BRITTO,1294.131,28212,21.8,29302,98.98,0.497,10.81,135483024.72,126441314.73,12471.02
Cocal de Telha,2202711,cocatelhense,KARYNE ARAGÃO CANSANÇÃO,310.254,4911,15.83,5046,100.0,0.555,19.23,39513419.29,34295918.49,12283.53
Cocal dos Alves,2202729,cocalalvense,WODSON GIAN SILVA VIEIRA,324.856,6386,19.66,6596,99.58,0.498,34.09,41699136.82,34938720.03,11496.1
Coivaras,2202737,coivarense,JOÃO DA CRUZ MOURÃO,484.465,4117,8.5,4249,100.0,0.565,40.82,36143271.72,33601815.53,12151.73
Colônia do Gurguéia,2202752,coloniense,LISIANE FRANCO ROCHA ARAÚJO,429.582,6150,14.32,6294,99.35,0.628,12.99,50729750.89,46958072.63,15113.64
Colônia do Piauí,2202778,coloniense,SELINDO MAURO CARNEIRO TAPETI SEGUNDO,938.303,6994,7.36,7067,99.24,0.588,12.5,32946213.17,30400196.0,11779.1
Conceição do Canindé,2202802,conceiçãonense,DIOGO JANES DE OLIVEIRA,824.729,4932,5.98,5078,100.0,0.589,,36927003.87,32488284.02,17925.48
Coronel José Dias,2202851,coronelino,VICTOR CESAR DE CARVALHO,1926.095,4250,2.21,4291,97.56,0.546,18.18,39819743.33,38037169.32,13110.13
Corrente,2202901,correntino,FILEMON JOSÉ FRANCISCO DE SOUZA NOGUEIRA PARANAGUÁ,3048.746,27278,8.95,28381,98.31,0.642,17.94,154420982.28,149833164.45,28016.04
Cristalândia do Piauí,2203008,cristalandense,MOISÉS DA CUNHA LEMOS FILHO,1202.898,7356,6.12,7431,98.35,0.573,10.64,54561188.63,52748362.72,12173.36
Cristino Castro,2203107,cristino-castrense,FELIPE FERREIRA DIAS,1845.69,10503,5.69,10801,99.19,0.566,14.29,80446362.34,79335106.66,14823.95
Curimatá,2203206,curimataense,JOSE ADELMO DA SILVA,2344.949,11270,4.81,11581,99.0,0.607,45.71,68274529.17,65157472.49,16527.0
Currais,2203230,curralense,RAIMUNDO MARTINS DE SOUSA SANTOS SOBRINHO,3156.695,4854,1.54,4977,99.66,0.542,,60684489.63,59212580.17,117417.76
Curralinhos,2203255,curralinhense,EVERARDO LIMA ARAUJO,344.123,4413,12.76,4555,100.0,0.555,37.74,38416565.58,37497849.2,12173.89
Curral Novo do Piauí,2203271,curral novense,EDGAR FRANCISCO DO NASCIMENTO JUNIOR,755.252,5073,6.72,5191,99.61,0.527,21.74,57584401.98,52523593.16,19440.19
Demerval Lobão,2203305,morrinhense,LUIS GONZAGA DE CARVALHO JUNIOR,220.047,16352,75.42,17139,99.8,0.618,29.05,106847736.57,98800225.22,21011.05
Dirceu Arcoverde,2203354,arcoverdense,WALLACE RAMON CAFÉ E SILVA,1005.572,7054,7.01,7259,99.07,0.561,12.66,51822415.21,51028883.63,12703.54
Dom Expedito Lopes,2203404,dom-expedito-lopense,ABIMAEL JOSÉ DO NASCIMENTO LIMA,218.808,6320,28.88,6410,99.69,0.601,42.25,38082435.41,37426792.72,14868.51
